Time	statistics.connectTime (0)	statistics.connectTime (1)	statistics.connectTime (2)	PeerNetwork.retries (0)	PeerNetwork.retries (1)	PeerNetwork.retries (2)
20240528221537	1603.4000000059605	0	1405.800000011921	0	0	0	ok
20240528221547	1072.800000011921	1149.199999988079	0	0	0	0	ok
20240528221556	0	6412.100000023842	6339.799999982119	0	1	1	ok
20240528221611	1488.699999988079	0	1473.199999988079	0	0	0	ok
20240528221620	0	2987.7999999821186	2301.5	0	0	0	ok
20240528221632	1325.300000011921	1479	0	0	0	0	ok
20240528221642	1800.3999999761581	0	6012.299999982119	0	0	1	ok
20240528221656	1602.300000011921	0	1430.9000000059605	0	0	0	ok
20240528221706	1044.4000000059605	1761.199999988079	0	0	0	0	ok
20240528221715	1471.4000000059605	1354.0999999940395	0	0	0	0	ok
20240528221725	0	6089.799999982119	1235.800000011921	0	1	0	ok
20240528221739	0	1044.2999999821186	1161.0999999940395	0	0	0	ok
20240528221749	0	1327.199999988079	1468	0	0	0	ok
20240528221758	0	1186.199999988079	1297.800000011921	0	0	0	ok
20240528221808	0	6195.300000011921	1574.2999999821186	0	1	0	ok
20240528221822	0	1068.0999999940395	1337.9000000059605	0	0	0	ok
20240528221832	1767.0999999940395	11038.09999999404	0	0	2	0	ok
20240528221851	1072.699999988079	6769.0999999940395	0	0	1	0	ok
20240528221906	1478.0999999940395	0	6044.300000011921	0	0	1	ok
20240528221920	1464.5	1625.8999999761581	0	0	0	0	ok
20240528221930	1638.7000000178814	1739.5999999940395	0	0	0	0	ok
20240528221939	6500.5	1605.699999988079	0	1	0	0	ok
20240528221954	0	1056.5	1487.0999999940395	0	0	0	ok
20240528222003	1341.5	1705.2000000178814	0	0	0	0	ok
20240528222013	16440.90000000596	0	975.7000000178814	5	0	0	ok
20240528222038	6782.300000011921	1606.5	0	1	0	0	ok
20240528222052	6091.0999999940395	0	11637.40000000596	1	0	2	ok
20240528222112	0	1298.199999988079	6423.4000000059605	0	0	1	ok
20240528222126	0	1037.6000000238419	6431.0999999940395	0	0	2	ok
20240528222141	0	1773.1000000238419	15986.40000000596	0	0	3	ok
20240528222206	2967	0	2264.2999999821186	0	0	0	ok
20240528222218	1044.2000000178814	1484.3999999761581	0	0	0	0	ok
20240528222227	1581.5999999940395	11156.299999982119	0	0	2	0	ok
20240528222247	0	2811.4000000059605	12869.799999982119	0	0	2	ok
20240528222309	11160.5	1688.199999988079	0	3	0	0	ok
20240528222329	0	1658.6000000238419	16696.399999976158	0	0	4	ok
20240528222354	0	997.7000000178814	6700	0	0	2	ok
20240528222408	16476.30000001192	0	1313.9000000059605	3	0	0	ok
20240528222433	1038.2000000178814	1746.199999988079	0	0	0	0	ok
20240528222442	6025.5999999940395	0	6148.5	1	0	1	ok
20240528222457	1708.4000000059605	0	10966.699999988079	0	0	2	ok
20240528222516	2381.0999999940395	0	2174.5	0	0	0	ok
20240528222528	11730.100000023842	0	6649.5999999940395	4	0	1	ok
20240528222548	11193.5	1016.7999999821186	0	3	0	0	ok
20240528222608	11015	6472.699999988079	0	2	2	0	ok
20240528222627	6204.0999999940395	0	1050.3999999761581	2	0	0	ok
20240528222642	0	1415.4000000059605	6312.699999988079	0	0	1	ok
20240528222657	1008.6999999880791	6745.5999999940395	0	0	2	0	ok
20240528222711	11662.59999999404	0	1131.2000000178814	2	0	0	ok
20240528222731	0	1755.9000000059605	1337.7000000178814	0	0	0	ok
20240528222741	1492.199999988079	1014.0999999940395	0	0	0	0	ok
20240528222750	0	6435.300000011921	1307.5	0	1	0	ok
20240528222804	0	6541.699999988079	1759.699999988079	0	1	0	ok
20240528222819	0	6030.700000017881	6158.0999999940395	0	1	1	ok
20240528222834	12919.5	2154.2999999821186	0	2	0	0	ok
20240528222856	6165.5999999940395	0	1045.699999988079	1	0	0	ok
20240528222911	0	1321.5999999940395	1472.4000000059605	0	0	0	ok
20240528222920	1748.5	0	6331.5	0	0	1	ok
20240528222935	0	1627.5	6416.0999999940395	0	0	1	ok
20240528222949	0	1369.5	6120.799999982119	0	0	1	ok
20240528223004	1047.5999999940395	0	6373.799999982119	0	0	1	ok
20240528223018	0	6374.4000000059605	6292.800000011921	0	1	1	ok
20240528223033	1065.4000000059605	0	6116.799999982119	0	0	1	ok
20240528223048	1651.4000000059605	0	1371.5	0	0	0	ok
20240528223057	1200.8999999761581	1255.5999999940395	0	0	0	0	ok
20240528223107	1828.6000000238419	6009.300000011921	0	0	1	0	ok
20240528223121	1175	0	1017.7000000178814	0	0	0	ok
20240528223131	0	6128.800000011921	1026.9000000059605	0	1	0	ok
20240528223145	6772.199999988079	1003.5999999940395	0	2	0	0	ok
20240528223200	1794.9000000059605	1349.699999988079	0	0	0	0	ok
20240528223209	1835.9000000059605	1351.800000011921	0	0	0	0	ok
20240528223219	0	6460.5999999940395	1042.7999999821186	0	1	0	ok
20240528223233	0	11414.5	1312.300000011921	0	2	0	ok
20240528223253	1808.9000000059605	1715.5999999940395	0	0	0	0	ok
20240528223302	1217.7999999821186	0	11306.40000000596	0	0	2	ok
20240528223322	6496.299999982119	1611.2999999821186	0	1	0	0	ok
20240528223337	0	1428	6578.0999999940395	0	0	1	ok
20240528223351	2572.2000000178814	2463.699999988079	0	0	0	0	ok
20240528223403	6266.299999982119	0	1447.5	1	0	0	ok
20240528223418	0	1753.800000011921	1010.5	0	0	0	ok
20240528223427	0	1650.8999999761581	11469.90000000596	0	0	2	ok
20240528223447	6439.300000011921	0	1006.0999999940395	2	0	0	ok
20240528223502	1069.0999999940395	6459.5	0	0	1	0	ok
20240528223516	1398.7999999821186	6031.399999976158	0	0	1	0	ok
20240528223531	1483.0999999940395	0	1260.7999999821186	0	0	0	ok
20240528223540	1651.9000000059605	0	1720.2000000178814	0	0	0	ok
20240528223550	0	1150.800000011921	5965.200000017881	0	0	1	ok
20240528223604	2950.699999988079	0	2693.9000000059605	0	0	0	ok
20240528223616	0	1445.5	1282.2000000178814	0	0	0	ok
20240528223626	1580.699999988079	0	1377.9000000059605	0	0	0	ok
20240528223635	0	6171.4000000059605	1620.699999988079	0	1	0	ok
20240528223650	1184.199999988079	1034.0999999940395	0	0	0	0	ok
20240528223700	1424.5	1294.5	0	0	0	0	ok
20240528223709	1077.4000000059605	0	1386.699999988079	0	0	0	ok
20240528223719	1738.6000000238419	1025.300000011921	0	0	0	0	ok
20240528223728	1083.5	1788.9000000059605	0	0	0	0	ok
20240528223738	0	2683	2561.2000000178814	0	0	0	ok
20240528223750	1031.0999999940395	6491.299999982119	0	0	1	0	ok
20240528223804	0	1763.0999999940395	1562.9000000059605	0	0	0	ok
20240528223814	11717.40000000596	1365.2000000178814	0	2	0	0	ok
20240528223834	1055	0	1719.2000000178814	0	0	0	ok
20240528223843	2929.899999976158	0	13050.699999988079	0	0	2	ok
20240528223905	0	6778.300000011921	6592.5999999940395	0	1	1	ok
20240528223920	0	1451.5999999940395	1002.2000000178814	0	0	0	ok
20240528223929	1072.7000000178814	11173.299999982119	0	0	2	0	ok
20240528223949	1187.5999999940395	1734.300000011921	0	0	0	0	ok
20240528223958	11156.600000023842	1637.699999988079	0	3	0	0	ok
20240528224018	1345.800000011921	6190.200000017881	0	0	1	0	ok
20240528224033	1360.0999999940395	0	1459.2000000178814	0	0	0	ok
20240528224042	0	6045.300000011921	1454.5999999940395	0	1	0	ok
20240528224057	6597.5	6524	0	1	1	0	ok
20240528224111	1796.2000000178814	0	11295.90000000596	0	0	2	ok
20240528224131	21553.70000001788	6046.299999982119	0	5	1	0	ok
20240528224201	11210.5	0	1313.6000000238419	2	0	0	ok
20240528224221	0	1653.0999999940395	16162.200000017881	0	0	6	ok
